food_name,serving_size,calories,protein,fat,carbohydrates,sugar,dietary_fiber,saturated_fat,trans_fat,natrium
소보로빵,100g,392,8.27,15.13,55.63,16.69,2.9,6.39,0.57,750
식빵,100g,264,9.34,2.6,50.91,1.56,3.5,1.47,0.11,557
초코소라빵,100g,319,3.29,10.93,51.76,9.29,2.1,4.34,0.03,513
츄러스,100g,361,6.6,11.29,58.17,22.73,3.0,2.44,0.19,700
카스텔라,100g,335,10.03,11.47,47.99,33.77,1.3,1.14,0.01,144
케이크_롤케이크,100g,312,7.36,11.83,44.01,24.64,1.4,1.82,0.03,468
케이크_생크림케이크,100g,237,3.45,12.54,27.62,14.49,1.1,8.52,0.08,771
크로와상,100g,446,7.52,26.98,43.31,6.1,2.3,9.75,0.27,181
파이/만주_사과파이,100g,185,2.54,3.91,34.83,7.11,2.3,1.95,0.17,829
페이스트리,100g,466,8.31,29.66,41.5,6.43,2.1,15.31,0.2,354
피자_콤비네이션피자,100g,274,10.68,14.36,25.54,4.85,2.6,3.84,0.08,432
피자빵,100g,298,8.85,15.05,31.76,8.11,2.2,4.92,0.25,538
햄버거,100g,264,12.85,13.98,21.67,3.13,2.8,4.42,0.35,460
햄버거_불고기버거,100g,250,13.88,11.52,22.68,0.13,3.6,4.34,0.38,356
호떡_견과류,100g,314,5.41,7.07,57.12,0.73,2.1,0.89,0.05,221
간자장,100g,125,5.12,4.89,15.13,0.86,1.5,0.8,0.03,167
국수_막국수,100g,133,5.8,1.61,23.9,4.88,1.7,0.46,0.02,411
국수_비빔국수,100g,102,3.01,0.95,20.47,4.11,1.4,0.2,0,375
국수_잔치국수,100g,44,1.93,0.49,8.05,0.04,0.8,0.16,0,50
국수_쟁반막국수,100g,119,6.68,4.56,12.81,8.12,4.5,0.88,0.04,243
냉면_물냉면,100g,55,1.96,0.64,10.31,4.52,0.3,0.16,0,483
냉면_비빔냉면,100g,100,5.67,2.64,13.35,4.02,1.5,0.54,0.01,468
냉면_회냉면_홍어,100g,148,5.81,4.02,22.21,2.84,2.6,0.27,0,464
떡국,100g,84,3.43,0.53,16.37,0.08,0.8,0.24,0,604
떡만두국,100g,111,3.53,3.91,15.47,0.01,1.8,0.57,0.02,385
라면,100g,82,1.72,2.28,13.65,0,1.0,0.82,0.01,145
라면_달걀,100g,108,2.61,3.18,17.33,0.18,0.8,1.35,0.02,783
라면_떡,100g,96,2.04,2.92,15.27,0,0.8,1,0.01,475
만두_고기만두,100g,159,12.38,4.45,17.4,0.16,2.3,0.61,0.02,217
만두_군만두,100g,234,7.03,11.5,25.57,2.77,3.5,3.28,0.06,98
만두_김치만두,100g,152,10.24,4.76,17.02,0.35,2.1,0.1,0,73
