food_name,serving_size,calories,protein,fat,carbohydrates,sugar,dietary_fiber,saturated_fat,trans_fat,natrium
머핀_플레인 머핀,100g,446,4,,,26,,4.3,,171
머핀_피낭시에,100g,385,7.69,,,26.92,,15,,56
머핀_휘낭시에 글루텐프리,100g,575,7.5,,,102.5,,1.75,,95
머핀_게랑트쇼콜라 (L),100g,536,4.7,29.9,62,37.3,,12.3,,22
머핀_레몬 마들렌,100g,397,5.9,22.7,42.3,22.1,,7.1,,320
머핀_머핀,100g,343,3.57,,,19.29,,3.57,,104
머핀_블루베리 머핀,100g,323,3.7,,,21.48,,5.19,,100
머핀_얼그레이 휘낭시에,100g,527,6.29,,,35.43,,12,,44
머핀_초코범벅,100g,429,5.71,,,34.29,,11.43,,68
머핀_초코범벅,100g,429,6,,,34,,11.7,,70
머핀_초코칩 머핀,100g,603,5,,,27.5,,8.33,,54
머핀_치즈 머핀,100g,336,5.33,,,20,,6.67,,55
머핀_캐러멜 마들렌,100g,394,5.6,21.2,45.1,23.2,,7.3,,38
머핀_허쉬초코 머핀,100g,440,7,23,51,29,,6,0,161
머핀_헤이즐넛 휘낭시에,100g,527,6.29,,,35.43,,12,,121
머핀_휘낭시에 로투스,100g,535,6.98,25.58,67.44,41.86,,9.3,2.33,76
머핀_휘낭시에 소보로,100g,526,6.98,25.58,65.12,39.53,,9.3,2.33,22
머핀_휘낭시에 소시지,100g,667,11.63,39.53,55.81,37.21,,16.28,2.33,68
머핀_휘낭시에 아몬드,100g,556,9.3,20.93,58.14,34.88,,9.3,2.33,70
머핀_휘낭시에 약과,100g,572,6.98,25.58,72.09,39.53,,9.3,2.33,22
머핀_휘낭시에 오레오,100g,563,6.98,27.91,69.77,44.19,,11.63,2.33,107
머핀_휘낭시에 크림치즈,100g,509,6.98,27.91,55.81,34.88,,16.28,2.33,39
머핀_휘낭시에 플레인,100g,447,4.65,20.93,53.49,34.88,,9.3,2.33,200
모닝빵_바로만든모닝빵 (10입),100g,329,10,,,8,,5,,138
모닝빵_부드러운연유브레드,100g,390,7,,,14,,11,,100
모닝빵_순수한맛순우유롤 (봉),100g,323,9.24,,,7.61,,8.7,,52
모닝빵_스위트밀크롤 (1개입),100g,386,9.09,17.27,50,13.64,,7.27,0,52
모닝빵_스위트밀크롤 (2개입),100g,386,9.09,18.18,50,13.64,,7.27,0,92
모닝빵_스위트밀크롤 (3개입),100g,386,9.09,16.67,50,12.12,,7.27,0,92
모닝빵_스위트밀크롤 (4개입),100g,381,9.09,17.05,48.86,12.5,,6.82,0,98
모닝빵_스위트밀크롤 (5개입),100g,382,9.09,17.27,49.09,12.73,,7.27,0,68
모닝빵_스위트밀크롤 (6개입),100g,383,8.33,17.42,49.24,12.88,,7.58,0,83
모닝빵_야채모닝롤 (8입),100g,366,11,,,7,,2.3,,22
모닝빵_연유퐁당밀크 브레드 (소),100g,436,7.2,,,22.4,,14.4,,44
모닝빵_진한초코브레드,100g,383,7.3,,,19.71,,10.22,,30
모닝빵_폭신폭신우유 브레드,100g,291,8.82,,,9.41,,4.71,,70
모닝빵_한겹한겹촉촉한밀크 브레드,100g,348,7.81,,,19.53,,5.47,,110
모닝빵_혼자서도즐기는연유브레드,100g,391,7.03,,,14.84,,10.94,,107
모닝빵_굿모닝브리오슈,100g,345,9.1,,,7.2,,7.7,,41
모닝빵_우유듬뿍연유브레드,100g,396,6.95,14.44,57.75,14.44,,11.76,0.43,57
모닝빵_우유듬뿍연유브레드 (대),100g,396,6.79,14.64,57.5,14.64,,11.79,0.39,39
모닝빵_초코아몬드브레드,100g,372,8.53,14.73,48.84,19.38,,7.75,0,138
바게트_갈릭 바게트볼,100g,327,7.78,,,40,,6.67,,39
바게트_갈릭 치즈 부기브레드,100g,369,9.41,,,0.47,,1.13,,70
바게트_달콤한 연유바게뜨,100g,373,6.67,,,10.67,,8.67,,130
바게트_대파 바게트볼,100g,424,7.78,,,12.22,,12.22,,130
바게트_마늘 바게트,100g,425,8,,,14.67,,6.67,,130
바게트_마늘모닝바게뜨,100g,324,8.57,8.57,51.9,4.29,,3.33,0,35
바게트_마늘바게뜨,100g,330,7,,,9,,4,,58
바게트_마늘 바게트,100g,377,7.9,,,9.2,,7.2,,307
바게트_마늘빵 (5개입),100g,350,7.14,,,4.29,,6.57,,115
바게트_마롱깜파뉴,100g,243,6.82,,,8.64,,0.18,,70
바게트_모닝바게뜨,100g,258,8.95,,,0,,0.16,,145
바게트_무화과크림 바게트,100g,405,5.8,22.5,44.9,14.6,,8.2,,22
바게트_미엘프로마쥬,100g,278,7.76,,,6.53,,4.49,,126
바게트_반미마늘스틱,100g,405,4.55,,,20.45,,8.86,,45
바게트_반미바게뜨,100g,246,5.13,,,2.56,,2.56,,50
바게트_순수바게트,100g,264,8.1,,,0.6,,0.3,,100
바게트_자꾸 생각나는 갈릭바게뜨,100g,444,6.67,,,11.11,,10.89,,100
바게트_치즈바게뜨,100g,305,11,,,2,,3.6,,15
바게트_크랜베리 로프,100g,249,7.14,,,9.14,,0.29,,317
바게트_크랜베리윌넛,100g,414,4.76,,,30.95,,6.43,,100
바게트_크림치즈모닝바게뜨 (H),100g,292,9.85,6.82,46.21,6.06,,3.71,0,32
바게트_크림치즈모닝바게뜨,100g,292,9.85,,,5.68,,3.79,,100
바게트_토마토 치즈 부기브레드,100g,247,10,,,0.53,,1.14,,97
바게트_통검정보리브레드,100g,217,6,,,3,,0,,100
바게트_통밀깜파뉴,100g,241,7,,,5,,1.1,,47
바게트_파리의 갈릭바게뜨,100g,429,7.5,,,11.67,,8.33,,320
바게트_파리의 바게뜨,100g,265,9,,,0.5,,0.2,,111
바게트_프렌치마늘바게뜨,100g,323,6.83,11.8,45.96,10.56,,4.97,0.31,106
바게트_프렌치바게뜨,100g,252,8.87,1.25,50.4,0.4,,0,0,17
바게트_피자바게트,100g,213,10,,,3,,3.2,,36
바게트_피자 바게트,100g,297,7.5,,,4.38,,3.13,,111
바게트_허니바게트볼,100g,370,7.03,,,9.38,,3.44,,71
바게트_허니버터 바게트볼,100g,66,1.25,,,2.29,,0.5,,95
바게트_NEW 모닝바게뜨,100g,258,8.95,1.21,51.58,0,,0.16,0,344
바게트_NEW마늘바게뜨,100g,308,8.3,6.79,51.7,5.66,,2.64,0.13,344
바게트_갈릭바게뜨,100g,375,7.5,17.5,45,7.5,,2,0,344
바게트_꿀버터 바게트,100g,363,5.83,,,15,,10.83,,205
바게트_달콤바삭연유바게뜨,100g,374,6.59,17.03,48.35,10.99,,8.79,0,344
바게트_명란바게뜨,100g,350,7.5,17.5,41.25,2.5,,6.13,0,205
바게트_바게트_바게트볼,100g,390,7,,45,11,,12,,344
바게트_스위트깜빠뉴,100g,264,7.2,8.4,39.8,5.8,,2.8,,344
바게트_쌀모닝 바게트 (2개입),100g,327,8.91,,,4.95,,2.87,,205
바게트_정통바게뜨,100g,255,9,1.2,51,0,,0,0,205
바게트_콘에그바게뜨,100g,265,8.14,15.7,22.67,2.91,,2.91,0,344
버거_1955 버거,100g,217,10.98,11.36,18.18,5.68,,3.79,0.38,344
버거_NBB 시그니처 버거,100g,249,9.86,15.49,17.37,4.23,,4.23,0.19,344
버거_NBB 어메이징 버거,100g,257,11.35,17.73,13.12,3.19,,5.32,0.18,1
버거_NBB 오리지널 버거,100g,232,8.99,13.76,18.52,4.23,,3.17,0.16,145
버거_간장마늘싸이 버거,100g,248,11.34,,,6.72,,3.24,,162
버거_그릴드불고기 버거,100g,260,9.76,14.02,23.78,7.32,,3.05,0.18,113
버거_기네스머쉬룸와퍼 버거,100g,237,11.46,,,4.24,,4.21,,237
버거_기네스와퍼 버거,100g,266,12.29,,,4.06,,4.88,,162
버거_기네스콰트로치 와퍼 버거,100g,270,12.77,,,4.22,,6.53,,143
버거_내슈빌핫치킨 버거,100g,251,11.24,,,5.62,,4.31,,150
버거_뉴욕 버거,100g,234,11.45,,,4.85,,3.52,,155
버거_다이어트싱글 버거,100g,110,6.5,,,2.03,,3.25,,280
버거_더블X2 버거,100g,320,10.96,,,3.07,,10.92,,99
버거_더블불고기 버거,100g,268,10.97,16.03,20.25,6.33,,5.49,0,208
버거_더블빅맥 버거,100g,275,14.73,,,2.4,,5.82,,221
버거_더블스테이크 버거,100g,205,11.57,,,3.73,,2.61,,685
버거_더블와퍼 버거,100g,234,12.5,,,2.92,,5.56,,171
버거_더블치즈 버거 (L),100g,300,17.05,,,3.79,,8.26,,439
버거_더블치즈 버거 (R),100g,252,15.3,,,2.08,,6.27,,325
버거_더블치즈 버거,100g,287,16.17,14.97,23.35,4.79,,7.19,0.6,41
버거_더블쿼터파운더치즈 버거,100g,280,18.18,16.36,15.64,3.64,,7.27,0.73,157
버거_데리마요 버거,100g,218,9.22,,,5.34,,2.43,,469
버거_데리버거,100g,266,8.96,,,7.46,,4.93,,100
버거_딥치즈 버거,100g,215,14.95,10.07,16.01,4.27,,3.56,0.18,134
버거_롱치킨 버거,100g,272,11.9,,,2.71,,2.62,,131
버거_리아미라클 버거,100g,270,9,,,6.64,,4.83,,178
버거_맥치킨 버거,100g,254,10.19,13.59,23.3,3.4,,1.46,0,125
버거_맥치킨모짜렐라 버거,100g,254,10.58,12.29,25.94,6.14,,2.39,0,65
버거_메가바이트 버거,100g,304,8.8,20.37,21.76,3.24,,3.24,0.14,296
버거_모짜렐라인더 버거 베이컨,100g,324,13.57,,,2.26,,8.46,,119
버거_몬스터와퍼 버거,100g,253,12.47,,,4.05,,5.54,,159
버거_미트마니아 버거,100g,246,12.13,15.74,13.77,2.95,,4.26,0.2,465
버거_바비큐 버거,100g,220,9.31,,,5.39,,1.96,,292
버거_바비큐킹치킨 버거,100g,278,11.31,,,2.26,,3.21,,271
버거_베이컨더블치즈 버거,100g,244,13.97,,,1.27,,6.35,,154
버거_베이컨치즈 버거 (L),100g,266,12.2,,,6.48,,7.2,,113
버거_베이컨치즈 버거 (R),100g,220,10.91,,,4.41,,4.69,,320
버거_베이컨치즈와퍼 버거,100g,248,11.75,,,2.38,,6.03,,463
버거_베이컨토마토디럭스 버거,100g,231,11.74,11.34,21.86,5.67,,4.45,0.4,121
버거_불고기 4DX 버거,100g,225,11.56,,,4,,3.87,,63
버거_불고기더블치즈 버거,100g,236,14.02,,,3.32,,5.54,,304
버거_불고기롱치킨 버거,100g,260,10.34,,,4.31,,2.28,,771
버거_불고기몬스터 버거,100g,258,13.06,,,4.49,,3.96,,161
버거_불고기 버거,100g,247,8.33,10.56,11.67,6.67,,3.78,0.11,239
버거_불고기 버거,100g,253,10.64,,,5.32,,3.72,,48
버거_불고기 버거,100g,246,8.54,11.04,28.05,8.54,,3.11,0.18,95
버거_불고기 버거,100g,245,8.38,11.98,26.35,8.38,,3.59,0,40
버거_불고기 버거,100g,265,12.14,,,7.07,,5.71,,166
버거_불고기 버거,100g,228,11.17,,,1.68,,4.47,,111
버거_불고기와퍼 버거,100g,229,9.63,,,5.58,,3.32,,429
버거_불고기와퍼주니어 버거,100g,242,10.37,,,5.18,,3.05,,370
버거_불싸이 버거,100g,236,12.17,10.17,23.91,6.52,,3,0.04,353
버거_블랙라벨더블다운맥스 버거,100g,266,15,,,1.88,,4.91,,18
버거_블랙라벨폴인치즈 버거,100g,242,11.33,,,3.33,,4.97,,223
버거_비프불고기 버거,100g,231,12.28,,,5.26,,2.34,,43
버거_빅맥 버거,100g,261,12.11,13.9,22.42,3.59,,4.93,0.45,43
버거_빅불 버거,100g,282,13.33,,,4.44,,5.93,,162
버거_사각새우 더블 버거,100g,267,8.17,,,3.37,,2.45,,240
버거_산체스 버거,100g,182,8.15,,,4.29,,3,,200
버거_살사리코 버거,100g,235,11.11,,,4.3,,4.16,,150
버거_새우 버거,100g,275,8.38,,,3.91,,2.63,,152
버거_새우불고기 버거,100g,238,7.54,11.23,26.59,7.94,,2.5,0.12,162
버거_쉬림프페퍼로니모짜 버거 (R),100g,251,9.3,,,4.55,,4.13,,237
버거_슈림프 버거,100g,215,5.91,,,1.36,,3.64,,148
버거_슈비 버거,100g,201,7.43,8.55,23.79,5.58,,1.86,0,145
버거_슈슈 버거,100g,183,5.36,6.25,26.79,5.8,,0.76,0,113
버거_스리라차치킨 버거,100g,239,11.47,11.01,23.85,8.26,,2.29,0.09,143
버거_스모키살사 버거,100g,209,8.84,11.63,17.21,4.65,,3.26,0.14,150
버거_스위트 핫도그,100g,205,12.5,,,6.02,,1.85,,222
버거_스태커2와퍼 버거,100g,255,13.68,,,2.1,,6.91,,188
버거_스태커3와퍼 버거,100g,261,15.44,,,2.1,,7.74,,26
버거_스태커4와퍼 버거,100g,263,16.15,,,1.83,,7.97,,113
버거_시그니처더블 버거,100g,245,12.25,,,4.64,,4.97,,250
버거_시그니처싱글 버거,100g,198,9.72,,,3.64,,4.05,,31
버거_싸이 버거,100g,258,12.17,14.83,19.13,6.09,,3.74,0.09,183
버거_싸이플렉스 버거,100g,244,10.84,13.74,19.21,3.45,,3.74,0.17,59
버거_아메리칸치즈 버거,100g,243,12.97,,,4.32,,3.24,,93
버거_양념치킨싸이 버거,100g,253,11.15,,,7.69,,3.15,,116
버거_언빌리버블 버거,100g,228,13.31,11.95,17.16,4.44,,2.34,0.09,61
버거_에그불고기 버거,100g,236,9.48,,,7.11,,3.03,,155
버거_에그불고기 버거,100g,221,9.46,11.71,19.82,6.31,,3.15,0,360
버거_오리지널더블 버거,100g,260,13.06,,,2.23,,7.32,,31
버거_오리지널싱글 버거,100g,221,9.83,,,2.14,,5.56,,338
버거_와규에디션 Ⅱ,100g,269,10.81,,,7.57,,6.16,,22
버거_와퍼 버거,100g,223,10.43,,,3.78,,4.68,,91
버거_와퍼주니어 버거,100g,253,10.76,,,2.91,,5.06,,200
버거_인크레더블 버거,100g,240,12.18,12.6,19.23,5.13,,2.76,0.06,92
버거_직화버섯소불고기 버거,100g,239,7.77,,,3.94,,4.15,,207
버거_직화소불고기버거,100g,257,7.87,,,4.04,,4.61,,217
버거_징거 더블다운맥스 버거,100g,216,16.62,12.64,8.97,1.15,,4.18,0.09,186
버거_징거 버거,100g,201,13.19,8.04,5.23,2.13,,2.51,0.04,95
버거_치아바타머쉬룸 버거,100g,178,4.55,,,7.07,,1.01,,167
버거_치즈 NO.5 버거,100g,278,11.48,,,2.73,,6.23,,267
버거_치즈 버거 (R),100g,242,9.98,,,3.36,,4.86,,187
버거_치즈 버거라지 (L),100g,269,10.57,,,5.07,,7.36,,313
버거_치즈 버거,100g,277,13.91,11.3,30.43,6.09,,5.22,0,31
버거_치즈 버거,100g,288,12.69,,,2.84,,5.15,,340
버거_치즈베이컨 버거,100g,201,13.75,,,2.5,,3.06,,174
버거_치즈와퍼 버거,100g,236,10.89,,,2.34,,5.28,,227
버거_치즈와퍼주니어 버거,100g,258,11.18,,,2.82,,5.88,,166
버거_치즈홀릭 버거 체다,100g,226,14.69,,,3.39,,2.46,,31
버거_치킨몬스터 버거,100g,251,8.68,,,1.51,,4.15,,73
버거_치킨 버거,100g,252,10.64,,,5.67,,2.7,,228
버거_치킨스테이크 버거,100g,199,8,,,6,,2.5,,75
버거_캡새 버거,100g,268,7.22,,,5.56,,2.39,,150
버거_코울슬로치킨 버거,100g,255,11.01,13.76,22.02,5.96,,2.75,0.09,22
버거_콰트로치즈와퍼 버거,100g,249,12.94,,,2.01,,6.47,,172
버거_콰트로치즈와퍼주니어 버거,100g,258,12.14,,,1.79,,5.78,,180
버거_쿼터파운더치즈 버거,100g,271,15.66,14.14,21.21,5.05,,6.57,0.51,218
버거_클래식치즈 버거,100g,338,13.99,,,4.2,,11.05,,162
버거_킹치킨 버거,100g,299,11.24,,,1.52,,3.93,,372
버거_타워 버거,100g,220,11.89,10.07,18.18,2.8,,3.36,0.1,172
버거_텍사스바비큐치킨 버거,100g,211,11.58,,,3.16,,3.37,,254
버거_통새우 버거,100g,228,6.33,,,4.52,,2.26,,86
버거_통새우 버거,100g,175,5,,,9,,1.4,,171
버거_통새우 버거,100g,252,6.74,11.57,30.34,5.06,,6.97,0.56,200
버거_통새우와퍼 버거,100g,226,10.37,,,1.46,,4.57,,545
버거_통새우와퍼주니어 버거,100g,235,12.96,,,3.09,,4.32,,182
버거_페퍼로니 버거,100g,254,11.4,,,4.66,,5.18,,113
버거_페퍼로니치킨 버거,100g,255,11.64,,,4.76,,2.65,,259
버거_폴더 버거 비프,100g,251,13.79,,,3.94,,6.6,,326
버거_프랭크 버거 (L),100g,263,11.31,,,5.02,,7.04,,146
버거_프랭크 버거 (R),100g,236,10.01,,,3.34,,5.4,,87
버거_필레오피쉬 버거,100g,250,10.22,,,4.38,,2.19,,1289
버거_하와이안BBQ 버거,100g,188,8.61,,,6.56,,3.69,,64
버거_한우불고기 버거,100g,217,9.13,,,5.7,,4.56,,300
버거_할라피뇨와퍼 버거,100g,210,9.73,,,3.86,,4.36,,29
버거_할라피뇨와퍼주니어 버거,100g,239,10.12,,,2.98,,4.76,,127
버거_할라피뇨통살 버거,100g,236,10.11,13.45,18.73,3,,3.03,0.07,225
버거_함박스테이크 버거,100g,191,6,,,10,,1.5,,246
버거_핫슈피뇨 버거,100g,227,10.2,,,1.97,,4.28,,166
버거_핫치즈징거 버거,100g,192,12.55,,,3.32,,3.14,,227
버거_핫크리스피 버거,100g,265,11.58,,,2.63,,3.84,,31
버거_핫통삼겹베이컨 버거,100g,239,12.67,,,6.16,,4.35,,190
버거_해쉬브라운&치킨 버거,100g,284,6.42,,,4.59,,3.21,,253
버거_햄치즈휠렛 버거,100g,210,14.64,,,3.74,,2.68,,170
버거_화이트갈릭 버거,100g,235,15.1,11.91,16.78,4.36,,3.72,0.13,37
버거_휠렛 버거,100g,203,13.54,9.72,15.63,4.51,,2.22,0.07,0
버거_BLT 오믈렛 킹모닝,100g,270,9.05,,,2.86,,4.76,,387
버거_JG 버거,100g,315,18.64,,,2.2,,8,,117
버거_JG 버거 (L),100g,319,18.55,,,2.47,,8.57,,24
버거_SG불고기 버거,100g,244,11.21,,,5.66,,4.81,,24
버거_SG불고기 버거 (L),100g,273,9.44,,,7.22,,5.56,,102
버거_SG크림치즈 버거,100g,263,14.36,,,3.33,,6.76,,91
버거_SG크림치즈 버거 (L),100g,310,14.28,,,4.27,,9.24,,110
버거_갈릭바베큐치킨 버거,100g,232,11.15,12.68,18.47,4.18,,3.48,0.07,216
버거_갈릭불고기와퍼 버거,100g,232,10.7,,,4.35,,3.68,,203
버거_갈릭붐 버거,100g,208,3.43,2.65,5.47,1.14,,0.91,0,217
버거_갈릭앤갈릭 버거,100g,278,9.14,16,24,3.43,,3.43,0.23,97
버거_갈릭 치킹 버거,100g,260,10.79,,,3.96,,2.88,,48
버거_골든맥앤치즈비프 버거,100g,250,12.29,13.77,19.49,5.08,,7.58,0.51,213
버거_골든맥앤치즈치킨 버거,100g,217,10.03,9.1,23.53,3.81,,3.63,0.1,210
버거_그릴드더블비프 버거,100g,251,15.2,15.78,12.16,2.74,,7.29,0.67,425
버거_그릴드비프 버거,100g,242,12.02,14.03,16.74,3.43,,6.18,0.52,197
버거_그릴드하와이 버거,100g,192,2.86,1.88,5.49,2.08,,0.75,0,267
버거_더머쉬룸 버거,100g,206,3.02,2.37,4.61,0.75,,0.95,0,31
버거_더블 데리버거,100g,262,11.18,,,5.88,,4.12,,156
버거_더블 치킨 버거,100g,233,11.71,,,5.37,,2.44,,137
버거_더블 클래식 치즈 버거 버터번,100g,343,11.74,,,2.82,,11.74,,12
버거_더블 리아미라클2 버거,100g,212,9.8,,,4.49,,2.86,,77
버거_더블비프불고기 버거,100g,283,13.98,,,5.38,,5.91,,77
버거_더블오리지널치즈 버거,100g,260,14.58,,,2.71,,5.57,,329
버거_더블치즈 베이컨 시그니처 버거,100g,242,10.96,14.47,16.67,3.07,,3.95,0.18,281
버거_더블치즈 버거,100g,297,15.22,,,1.36,,9.25,,156
버거_더블치즈 버거 (L),100g,270,13.17,,,1.79,,7.68,,173
버거_더블 한우불고기 버거,100g,228,13.64,,,5.11,,5.68,,134
버거_디럭스불고기 버거,100g,260,10.17,13.98,23.31,6.78,,3.94,0.21,75
버거_디아볼리 버거,100g,204,3.24,2.63,5.81,1.47,,1,0,450
버거_딥치즈싸이 버거,100g,266,12.2,15.49,19.92,4.07,,4.92,0.2,450
버거_뚱카츠 버거,100g,250,10,,,4.35,,1.3,,74
버거_리아미라클2 버거,100g,194,8.29,,,4.97,,2.21,,308
버거_리얼 딥치즈 버거,100g,243,12.97,,,4.32,,3.24,,129
버거_마라싸이 버거,100g,289,12.5,15.8,24.55,4.91,,4.38,0.13,20
버거_맥스파이시상하이 버거,100g,204,9.76,8.94,21.54,3.66,,1.22,0,650
버거_맥크리스피디럭스 버거,100g,223,8.55,11.15,22.68,5.58,,1.86,0,173
버거_맥크리스피클래식 버거,100g,290,11.33,14.78,29.06,6.4,,2.46,0,66
버거_머쉬룸 버거,100g,259,10.6,,,5.11,,6.42,,183
버거_머쉬룸 버거 (L),100g,266,10.7,,,5.43,,7.24,,21
버거_바비큐치킨 버거,100g,278,11.31,,,2.26,,3.21,,260
버거_BBQ 치킨 버거,100g,245,11.42,,,5.14,,4.73,,128
버거_베스트포지션 버거,100g,211,2.97,2.49,5.56,1.62,,1.05,0,280
버거_베이컨치즈 버거,100g,249,15.47,,,3.79,,6.75,,163
버거_베이컨치즈 버거 (L),100g,257,12.81,,,4.03,,6.72,,87
버거_베이컨햄 에그번,100g,404,16.24,,,4.27,,9.4,,178
버거_불고기 베이컨 버거,100g,237,10,,,5,,4.09,,61
버거_불고기 익스트림 오징어 버거,100g,256,11.42,,,5.51,,3.15,,135
버거_블랙바비큐와퍼 버거,100g,266,12.29,,,4.06,,4.88,,154
버거_블랙바비큐콰트로치즈와퍼 버거,100g,270,12.77,,,4.22,,6.53,,50
버거_비프&슈림프 버거,100g,235,9.84,,,1.89,,3.4,,375
버거_비프스테이크 버거,100g,274,13.33,16.44,18.15,5.19,,5.15,0.33,400
버거_빈스미트 핫도그,100g,232,10.26,,,7.18,,2.56,,17
버거_새우베이컨 버거,100g,255,8.06,,,3.32,,2.84,,350
버거_새우익스트림 레몬크림 버거,100g,227,7.23,,,5.11,,1.74,,100
버거_쉬림프 버거,100g,242,6.96,,,3.68,,3.7,,144
버거_쉬림프싸이플렉스 버거,100g,285,9.63,16.38,24.92,3.99,,3.92,0.13,228
버거_슈림프 버거,100g,254,8.09,,,2.37,,2.66,,303
버거_스콜쳐 버거 플러스,100g,271,8.9,16.1,22.26,5.48,,3.6,0,190
버거_스파이시치킨 스낵랩,100g,271,10.71,15.18,23.21,2.68,,3.3,0,432
버거_아라비아따치즈 버거,100g,256,13.27,13.07,21.36,3.24,,3.88,0.16,201
버거_에그샐러드번,100g,251,7.78,,,3.33,,4.94,,436
버거_에그포테이토 버거,100g,267,6.06,,,4.24,,3.64,,107
버거_오리지널미트볼 버거,100g,269,11.22,15.84,20.13,6.27,,6.01,0.13,151
버거_오리지널스 페퍼잭 더블,100g,305,15.76,,,2.17,,7.88,,123
버거_오리지널스 페퍼잭 싱글,100g,321,15.12,,,2.75,,8.59,,176
버거_오믈렛킹모닝,100g,309,9.3,,,2.33,,5.23,,3
버거_오찡 버거,100g,213,7.29,,,6.77,,1.56,,430
버거_징거 BLT 버거,100g,210,13.51,10.81,15.06,3.09,,3.86,0.08,121
버거_창녕갈릭비프 버거,100g,250,10,13.33,22.96,7.04,,4.44,0.37,3
버거_창녕갈릭치킨 버거,100g,232,8.39,11.74,24.16,7.05,,1.68,0,468
버거_청양마요미트볼 버거,100g,265,11.96,14.55,21.59,5.98,,5.22,0.1,238
버거_치즈 버거,100g,248,10.81,,,2.86,,5.84,,141
버거_치즈 버거 (L),100g,261,10.83,,,2.85,,6.03,,132
버거_치즈인더트랩 버거,100g,258,3.51,4.08,4.71,0.81,,1.89,0,150
버거_치킨 버거,100g,302,10.11,,,2.25,,3.93,,152
버거_치킨킹버거,100g,300,10.8,,,3.6,,4.4,,163
버거_치킨킹BLT 버거,100g,275,9.36,,,4.35,,4.01,,91
버거_치플레핫치킨 버거,100g,234,9.23,12.31,21.03,5.64,,2.05,0.05,0
버거_칠리새우 버거,100g,245,7,11.9,27.5,7,,2.65,0.1,16
버거_칠리 치킹 버거,100g,246,10.99,,,3.9,,2.48,,443
버거_케이준비프 스낵랩,100g,302,10.78,18.63,22.55,3.92,,5.88,0,300
버거_콰트로 맥앤치즈 버거,100g,282,10.76,17.04,20.63,2.69,,5.38,0.18,427
버거_클래식치즈 버거 버터번,100g,337,10.96,,,3.42,,9.59,,705
버거_클래식포즈 버거,100g,228,4.06,3.06,6.74,1.56,,1.38,0,102
버거_탄두리싸이 버거,100g,250,12.21,14.2,18.32,4.2,,4.05,0.11,307
버거_텍사스레드 버거,100g,184,3.06,1.93,5.44,2.22,,0.56,0,637
버거_통새우슈림프 버거,100g,243,8.47,,,3.7,,2.65,,137
버거_투머치 베이컨 버거,100g,235,13.03,14.18,13.41,3.45,,3.83,0.15,253
버거_트리플딥치즈비프 버거,100g,251,13.55,15.14,15.54,3.98,,8.29,0.56,253
버거_트리플딥치즈싸이 버거,100g,242,11.4,12.94,19.85,3.68,,5.15,0.22,274
버거_트리플치즈 버거,100g,283,16.44,15.98,19.63,4.11,,7.76,0.46,285
버거_티렉스버거 T-REX 버거,100g,217,12.21,,,3.29,,2.35,,123
버거_페퍼로니 버거,100g,209,9.09,,,3.21,,2.67,,109
버거_페퍼로니피자 치킨 버거,100g,240,12.15,13.77,16.6,4.05,,3.24,0.12,129
버거_프랭크 버거,100g,260,11.44,,,4.78,,6.05,,80
버거_프랭크 버거 (L),100g,259,11.45,,,4.31,,6.19,,24
버거_한우트러플머쉬룸 버거,100g,215,9.23,,,6.64,,5.42,,54
버거_햄버거,100g,263,12.87,8.91,32.67,6.93,,2.97,0,9
버거_화이트갈릭싸이 버거,100g,289,14.07,17.38,19.01,3.8,,4.94,0.19,400
버터빵_뺑오플레르,100g,339,8.2,,,1.3,,11.1,,150
버터빵_소금버터롤,100g,363,11.29,,,8.06,,9.68,,160
버터빵_고메소금빵,100g,374,9.43,,,3.77,,7.55,,9
버터빵_버터 소금빵,100g,365,8,,,5.33,,0,,39
버터빵_버터롤,100g,320,8,11,48,11,,6,0.35,271
버터빵_소금빵,100g,432,15.38,,,9.23,,1.85,,300
버터빵_약과 버터바,100g,432,4.05,,,22.3,,10.14,,203
번_딸기번,100g,424,8.42,15.79,62.11,10.53,,6.32,0,222
번_로띠번,100g,369,9.47,12.63,53.68,12.63,,8.42,,31
번_모카번,100g,400,6.67,,,6.67,,3.5,,214
번_모카번,100g,391,6.25,,,8.75,,5,,172
번_모카빵 (소),100g,335,6.42,,,20.18,,4.13,,172
번_모카빵,100g,355,8,,,8,,4.5,,300
번_미니모카빵,100g,336,7.27,,,20,,4.18,,200
번_바닐라번,100g,360,8.42,12,53.68,12.63,,7.37,,31
번_쁘띠모카빵,100g,351,8.33,,,6.94,,4.86,,103
번_아몬드모카빵,100g,352,9,,,20,,4.2,,9
번_악마의 초코번,100g,304,5.66,,40.57,8.49,,9.43,,103
번_악마의 크림번,100g,304,5.71,,40.95,8.57,,9.52,,207
번_오리지널 핫 번,100g,400,6.67,,,6.67,,3.5,,80
번_초코번,100g,396,8.42,16,53.68,16.84,,5.26,0,29
번_치즈번,100g,392,6.67,,,16.67,,10,,83
번_카페모카빵 (대),100g,362,8.08,,,20.38,,7.69,,80
번_카페모카빵 (소),100g,362,8.46,,,20,,7.69,,14
번_커피번,100g,387,7.25,,,8.7,,13.04,,50
번_커피콩빵,100g,423,8.57,,,30,,7.14,,288
번_쿠키&크림 번버거,100g,295,4.18,,,17.21,,8.61,,1020
번_크림치즈번,100g,359,8.57,16,55.24,16,,8.57,0.19,159
